datum,uhrzeit_start,uhrzeit_ende,zaehlstelle,richtung_1,richtung_2,gesamt,min-temp,max-temp,niederschlag,bewoelkung,sonnenstunden
2025.10.01,00:00,23.59,Arnulf,1526,100,1626,4.9,13.9,0.0,50,7.9
2025.10.02,00:00,23.59,Arnulf,1377,92,1469,2.7,13.4,0.0,13,9.1
2025.10.03,00:00,23.59,Arnulf,917,87,1004,2.3,14.2,0.0,18,10.7
2025.10.04,00:00,23.59,Arnulf,771,68,839,5.8,22.7,4.4,89,3.5
2025.10.05,00:00,23.59,Arnulf,453,74,527,6.8,10.8,14.4,86,0.0
2025.10.06,00:00,23.59,Arnulf,732,68,800,6.9,9.7,9.4,98,0.0
2025.10.07,00:00,23.59,Arnulf,953,87,1040,6.8,14.6,0.0,86,0.6
2025.10.08,00:00,23.59,Arnulf,1296,101,1397,6.4,17.6,0.0,88,7.9
2025.10.09,00:00,23.59,Arnulf,1037,71,1108,9.6,13.7,0.9,89,0.0
2025.10.10,00:00,23.59,Arnulf,1015,82,1097,8.1,12.5,0.0,95,0.0
2025.10.11,00:00,23.59,Arnulf,846,73,919,9.0,16.2,0.0,89,3.7
2025.10.12,00:00,23.59,Arnulf,743,56,799,9.8,15.4,0.0,98,2.3
2025.10.13,00:00,23.59,Arnulf,1230,88,1318,5.7,12.6,0.0,79,0.7
2025.10.14,00:00,23.59,Arnulf,1346,112,1458,5.1,14.2,0.0,56,5.8
2025.10.15,00:00,23.59,Arnulf,1365,104,1469,3.5,15.5,0.0,59,5.5
2025.10.16,00:00,23.59,Arnulf,1254,98,1352,5.7,9.0,0.0,84,0.1
2025.10.17,00:00,23.59,Arnulf,1074,81,1155,7.1,12.1,0.0,94,0.0
2025.10.18,00:00,23.59,Arnulf,906,75,981,4.1,13.0,0.0,69,2.7
2025.10.19,00:00,23.59,Arnulf,781,68,849,2.6,14.2,0.0,100,5.2
2025.10.20,00:00,23.59,Arnulf,1311,73,1384,5.5,15.4,0.6,99,0.6
2025.10.21,00:00,23.59,Arnulf,1437,85,1522,8.7,18.4,0.3,91,7.8
2025.10.22,00:00,23.59,Arnulf,1139,68,1207,10.2,15.4,2.1,99,0.0
2025.10.23,00:00,23.59,Arnulf,1032,77,1109,8.6,15.8,5.3,99,0.0
2025.10.24,00:00,23.59,Arnulf,817,67,884,4.0,9.7,2.2,45,6.4
2025.10.25,00:00,23.59,Arnulf,495,40,535,6.5,12.3,4.3,78,1.6
2025.10.26,00:00,23.59,Arnulf,511,41,552,4.4,10.8,4.3,78,3.8
2025.10.27,00:00,23.59,Arnulf,628,55,683,5.0,7.7,5.4,85,0.3
2025.10.28,00:00,23.59,Arnulf,1137,85,1222,6.8,14.3,0.0,89,4.2
2025.10.29,00:00,23.59,Arnulf,1357,100,1457,6.0,16.5,0.3,54,8.5
2025.10.30,00:00,23.59,Arnulf,1302,90,1392,5.2,15.4,0.0,79,4.5
2025.10.31,00:00,23.59,Arnulf,1046,82,1128,3.7,13.2,0.0,81,4.1
2025.10.01,00:00,23.59,Kreuther,460,357,817,4.9,13.9,0.0,50,7.9
2025.10.02,00:00,23.59,Kreuther,400,351,751,2.7,13.4,0.0,13,9.1
2025.10.03,00:00,23.59,Kreuther,209,183,392,2.3,14.2,0.0,18,10.7
2025.10.04,00:00,23.59,Kreuther,212,196,408,5.8,22.7,4.4,89,3.5
2025.10.05,00:00,23.59,Kreuther,78,71,149,6.8,10.8,14.4,86,0.0
2025.10.06,00:00,23.59,Kreuther,219,170,389,6.9,9.7,9.4,98,0.0
2025.10.07,00:00,23.59,Kreuther,346,260,606,6.8,14.6,0.0,86,0.6
2025.10.08,00:00,23.59,Kreuther,444,339,783,6.4,17.6,0.0,88,7.9
2025.10.09,00:00,23.59,Kreuther,358,302,660,9.6,13.7,0.9,89,0.0
2025.10.10,00:00,23.59,Kreuther,381,312,693,8.1,12.5,0.0,95,0.0
2025.10.11,00:00,23.59,Kreuther,265,254,519,9.0,16.2,0.0,89,3.7
2025.10.12,00:00,23.59,Kreuther,231,239,470,9.8,15.4,0.0,98,2.3
2025.10.13,00:00,23.59,Kreuther,397,317,714,5.7,12.6,0.0,79,0.7
2025.10.14,00:00,23.59,Kreuther,471,376,847,5.1,14.2,0.0,56,5.8
2025.10.15,00:00,23.59,Kreuther,453,410,863,3.5,15.5,0.0,59,5.5
2025.10.16,00:00,23.59,Kreuther,369,280,649,5.7,9.0,0.0,84,0.1
2025.10.17,00:00,23.59,Kreuther,366,302,668,7.1,12.1,0.0,94,0.0
2025.10.18,00:00,23.59,Kreuther,248,223,471,4.1,13.0,0.0,69,2.7
2025.10.19,00:00,23.59,Kreuther,246,233,479,2.6,14.2,0.0,100,5.2
2025.10.20,00:00,23.59,Kreuther,453,370,823,5.5,15.4,0.6,99,0.6
2025.10.21,00:00,23.59,Kreuther,480,382,862,8.7,18.4,0.3,91,7.8
2025.10.22,00:00,23.59,Kreuther,325,260,585,10.2,15.4,2.1,99,0.0
2025.10.23,00:00,23.59,Kreuther,301,221,522,8.6,15.8,5.3,99,0.0
2025.10.24,00:00,23.59,Kreuther,236,164,400,4.0,9.7,2.2,45,6.4
2025.10.25,00:00,23.59,Kreuther,117,117,234,6.5,12.3,4.3,78,1.6
2025.10.26,00:00,23.59,Kreuther,99,97,196,4.4,10.8,4.3,78,3.8
2025.10.27,00:00,23.59,Kreuther,186,135,321,5.0,7.7,5.4,85,0.3
2025.10.28,00:00,23.59,Kreuther,369,284,653,6.8,14.3,0.0,89,4.2
2025.10.29,00:00,23.59,Kreuther,385,333,718,6.0,16.5,0.3,54,8.5
2025.10.30,00:00,23.59,Kreuther,353,257,610,5.2,15.4,0.0,79,4.5
2025.10.31,00:00,23.59,Kreuther,368,312,680,3.7,13.2,0.0,81,4.1
2025.10.01,00:00,23.59,Olympia,1256,1280,2536,4.9,13.9,0.0,50,7.9
2025.10.02,00:00,23.59,Olympia,1025,1018,2043,2.7,13.4,0.0,13,9.1
2025.10.03,00:00,23.59,Olympia,852,867,1719,2.3,14.2,0.0,18,10.7
2025.10.04,00:00,23.59,Olympia,580,550,1130,5.8,22.7,4.4,89,3.5
2025.10.05,00:00,23.59,Olympia,273,278,551,6.8,10.8,14.4,86,0.0
2025.10.06,00:00,23.59,Olympia,628,662,1290,6.9,9.7,9.4,98,0.0
2025.10.07,00:00,23.59,Olympia,918,939,1857,6.8,14.6,0.0,86,0.6
2025.10.08,00:00,23.59,Olympia,1183,1245,2428,6.4,17.6,0.0,88,7.9
2025.10.09,00:00,23.59,Olympia,934,970,1904,9.6,13.7,0.9,89,0.0
2025.10.10,00:00,23.59,Olympia,1241,1291,2532,8.1,12.5,0.0,95,0.0
2025.10.11,00:00,23.59,Olympia,1399,1299,2698,9.0,16.2,0.0,89,3.7
2025.10.12,00:00,23.59,Olympia,2985,2350,5335,9.8,15.4,0.0,98,2.3
2025.10.13,00:00,23.59,Olympia,1126,1167,2293,5.7,12.6,0.0,79,0.7
2025.10.14,00:00,23.59,Olympia,1671,1644,3315,5.1,14.2,0.0,56,5.8
