datum     ,uhrzeit_start,uhrzeit_ende,zaehlstelle,richtung_1,richtung_2,gesamt,min-temp,max-temp,niederschlag,bewoelkung,sonnenstunden
2026.07.01,00:00        ,       23:59,Kreuther   ,       350,       297,   647,    15.7,    21.7,        29.7,        96,          1.6
2026.07.02,00:00        ,       23:59,Kreuther   ,       744,       594,  1338,    13.9,    27.2,         0.0,        25,         12.3
2026.07.03,00:00        ,       23:59,Kreuther   ,       619,       509,  1128,    15.5,    25.7,         0.0,        61,         11.5
2026.07.04,00:00        ,       23:59,Kreuther   ,       444,       462,   906,    14.4,    27.3,         0.0,        19,         15.1
2026.07.05,00:00        ,       23:59,Kreuther   ,       335,       316,   651,    16.0,    25.4,         9.1,        89,          2.8
2026.07.06,00:00        ,       23:59,Kreuther   ,       612,       505,  1117,    15.6,    25.4,         0.0,        94,          5.6
2026.07.07,00:00        ,       23:59,Kreuther   ,       777,       628,  1405,    19.5,    29.9,         0.6,        85,          8.7
2026.07.08,00:00        ,       23:59,Kreuther   ,       581,       447,  1028,    16.9,    23.8,         0.0,        96,          2.9
2026.07.09,00:00        ,       23:59,Kreuther   ,       797,       645,  1442,    15.4,    26.3,         0.0,        31,         12.9
2026.07.10,00:00        ,       23:59,Kreuther   ,       731,       577,  1308,    14.5,    29.1,         0.0,         9,         15.4
2026.07.11,00:00        ,       23:59,Kreuther   ,       441,       446,   887,    15.9,    30.0,         0.0,         0,         15.3
2026.07.12,00:00        ,       23:59,Kreuther   ,       380,       367,   747,    15.4,    28.5,         0.0,         0,         15.3
2026.07.13,00:00        ,       23:59,Kreuther   ,       733,       544,  1277,    15.5,    31.3,         0.0,        43,         12.3
2026.07.14,00:00        ,       23:59,Kreuther   ,       521,       656,  1177,    17.0,    28.9,        20.9,        78,          8.4
2026.07.15,00:00        ,       23:59,Kreuther   ,       418,       549,   967,    17.0,    25.1,         0.2,        89,          2.5
2026.07.16,00:00        ,       23:59,Kreuther   ,       582,       705,  1287,    17.3,    31.2,         4.9,        60,         12.0
2026.07.17,00:00        ,       23:59,Kreuther   ,       458,       553,  1011,    17.2,    29.6,         0.5,        69,          6.8
2026.07.18,00:00        ,       23:59,Kreuther   ,       342,       384,   726,    17.1,    26.6,         8.7,        55,         11.3
2026.07.19,00:00        ,       23:59,Kreuther   ,       253,       262,   515,    14.2,    22.3,         1.1,        69,          4.8
2026.07.20,00:00        ,       23:59,Kreuther   ,       563,       767,  1330,    12.8,    23.8,         0.0,        38,         12.5
2026.07.21,00:00        ,       23:59,Kreuther   ,       638,       781,  1419,    11.3,    22.7,         0.0,        64,          9.7
2026.07.22,00:00        ,       23:59,Kreuther   ,       613,       806,  1419,    11.4,    24.9,         0.0,        43,         12.2
2026.07.23,00:00        ,       23:59,Kreuther   ,       579,       722,  1301,    13.0,    23.0,         0.0,        70,          9.9
2026.07.24,00:00        ,       23:59,Kreuther   ,       538,       669,  1207,    10.6,    25.3,         0.0,        25,         14.7
2026.07.25,00:00        ,       23:59,Kreuther   ,       406,       459,   865,    12.4,    32.6,         0.2,        69,         12.1
2026.07.26,00:00        ,       23:59,Kreuther   ,       330,       340,   670,    19.3,    27.1,         0.0,        81,          4.3
2026.07.27,00:00        ,       23:59,Kreuther   ,       482,       597,  1079,    14.7,    24.7,         2.0,        89,          3.5
2026.07.28,00:00        ,       23:59,Kreuther   ,       619,       793,  1412,    14.3,    29.7,         0.0,        11,         14.2
2026.07.29,00:00        ,       23:59,Kreuther   ,       579,       771,  1350,    15.6,    34.7,         0.0,        10,         13.8
2026.07.30,00:00        ,       23:59,Kreuther   ,       542,       729,  1271,    22.2,    37.1,         0.0,        14,         13.7
2026.07.31,00:00        ,       23:59,Kreuther   ,       466,       586,  1052,    19.1,    37.4,         1.4,        45,         10.5
2026.07.01,00:00        ,       23:59,Olympia    ,      1330,      1330,  2660,    15.7,    21.7,        29.7,        96,          1.6
2026.07.02,00:00        ,       23:59,Olympia    ,      2568,      2599,  5167,    13.9,    27.2,         0.0,        25,         12.3
2026.07.03,00:00        ,       23:59,Olympia    ,      2562,      2561,  5123,    15.5,    25.7,         0.0,        61,         11.5
2026.07.04,00:00        ,       23:59,Olympia    ,      2423,      2219,  4642,    14.4,    27.3,         0.0,        19,         15.1
2026.07.05,00:00        ,       23:59,Olympia    ,      1742,      1689,  3431,    16.0,    25.4,         9.1,        89,          2.8
2026.07.06,00:00        ,       23:59,Olympia    ,      2538,      2472,  5010,    15.6,    25.4,         0.0,        94,          5.6
2026.07.07,00:00        ,       23:59,Olympia    ,      2418,      1678,  4096,    19.5,    29.9,         0.6,        85,          8.7
2026.07.08,00:00        ,       23:59,Olympia    ,      2432,      1569,  4001,    16.9,    23.8,         0.0,        96,          2.9
2026.07.09,00:00        ,       23:59,Olympia    ,      3191,      2148,  5339,    15.4,    26.3,         0.0,        31,         12.9
2026.07.10,00:00        ,       23:59,Olympia    ,      2334,      2259,  4593,    14.5,    29.1,         0.0,         9,         15.4
2026.07.11,00:00        ,       23:59,Olympia    ,      2208,      2184,  4392,    15.9,    30.0,         0.0,         0,         15.3
2026.07.12,00:00        ,       23:59,Olympia    ,      2144,      2007,  4151,    15.4,    28.5,         0.0,         0,         15.3
2026.07.13,00:00        ,       23:59,Olympia    ,      2549,      2523,  5072,    15.5,    31.3,         0.0,        43,         12.3
2026.07.14,00:00        ,       23:59,Olympia    ,      2270,      2228,  4498,    17.0,    28.9,        20.9,        78,          8.4
2026.07.15,00:00        ,       23:59,Olympia    ,      3021,      3534,  6555,    17.0,    25.1,         0.2,        89,          2.5
2026.07.16,00:00        ,       23:59,Olympia    ,      2538,      2636,  5174,    17.3,    31.2,         4.9,        60,         12.0
2026.07.17,00:00        ,       23:59,Olympia    ,      1923,      1912,  3835,    17.2,    29.6,         0.5,        69,          6.8
2026.07.18,00:00        ,       23:59,Olympia    ,       314,       352,   666,    17.1,    26.6,         8.7,        55,         11.3
2026.07.19,00:00        ,       23:59,Olympia    ,      1404,      1457,  2861,    14.2,    22.3,         1.1,        69,          4.8
2026.07.20,00:00        ,       23:59,Olympia    ,      2149,      2193,  4342,    12.8,    23.8,         0.0,        38,         12.5
2026.07.21,00:00        ,       23:59,Olympia    ,      2329,      2306,  4635,    11.3,    22.7,         0.0,        64,          9.7
2026.07.22,00:00        ,       23:59,Olympia    ,      2108,      2459,  4567,    11.4,    24.9,         0.0,        43,         12.2
2026.07.23,00:00        ,       23:59,Olympia    ,      2245,      2132,  4377,    13.0,    23.0,         0.0,        70,          9.9
2026.07.24,00:00        ,       23:59,Olympia    ,      2141,      2126,  4267,    10.6,    25.3,         0.0,        25,         14.7
2026.07.25,00:00        ,       23:59,Olympia    ,      1580,      1585,  3165,    12.4,    32.6,         0.2,        69,         12.1
2026.07.26,00:00        ,       23:59,Olympia    ,      1413,      1509,  2922,    19.3,    27.1,         0.0,        81,          4.3
2026.07.27,00:00        ,       23:59,Olympia    ,      1325,      1558,  2883,    14.7,    24.7,         2.0,        89,          3.5
2026.07.28,00:00        ,       23:59,Olympia    ,      1704,      2251,  3955,    14.3,    29.7,         0.0,        11,         14.2
2026.07.29,00:00        ,       23:59,Olympia    ,      1982,      1988,  3970,    15.6,    34.7,         0.0,        10,         13.8
2026.07.30,00:00        ,       23:59,Olympia    ,      2007,      2043,  4050,    22.2,    37.1,         0.0,        14,         13.7
2026.07.31,00:00        ,       23:59,Olympia    ,      1670,      1643,  3313,    19.1,    37.4,         1.4,        45,         10.5
2026.07.01,00:00        ,       23:59,Hirsch     ,       883,       946,  1829,    15.7,    21.7,        29.7,        96,          1.6
2026.07.02,00:00        ,       23:59,Hirsch     ,      1712,      1768,  3480,    13.9,    27.2,         0.0,        25,         12.3
2026.07.03,00:00        ,       23:59,Hirsch     ,      1362,      1391,  2753,    15.5,    25.7,         0.0,        61,         11.5
2026.07.04,00:00        ,       23:59,Hirsch     ,       800,       776,  1576,    14.4,    27.3,         0.0,        19,         15.1
2026.07.05,00:00        ,       23:59,Hirsch     ,       618,       618,  1236,    16.0,    25.4,         9.1,        89,          2.8
2026.07.06,00:00        ,       23:59,Hirsch     ,      1500,      1555,  3055,    15.6,    25.4,         0.0,        94,          5.6
2026.07.07,00:00        ,       23:59,Hirsch     ,      1760,      1740,  3500,    19.5,    29.9,         0.6,        85,          8.7
2026.07.08,00:00        ,       23:59,Hirsch     ,      1278,      1279,  2557,    16.9,    23.8,         0.0,        96,          2.9
2026.07.09,00:00        ,       23:59,Hirsch     ,      1660,      1750,  3410,    15.4,    26.3,         0.0,        31,         12.9
2026.07.10,00:00        ,       23:59,Hirsch     ,      1379,      1378,  2757,    14.5,    29.1,         0.0,         9,         15.4
2026.07.11,00:00        ,       23:59,Hirsch     ,       772,       764,  1536,    15.9,    30.0,         0.0,         0,         15.3
2026.07.12,00:00        ,       23:59,Hirsch     ,       798,       754,  1552,    15.4,    28.5,         0.0,         0,         15.3
2026.07.13,00:00        ,       23:59,Hirsch     ,      1623,      1628,  3251,    15.5,    31.3,         0.0,        43,         12.3
2026.07.14,00:00        ,       23:59,Hirsch     ,      1513,      1504,  3017,    17.0,    28.9,        20.9,        78,          8.4
