FID,STRASSENNA,Shape_Leng,d_RADWEGAR,START_X,START_Y,END_X,END_Y
0,Blumenauer Straße,68.37723801,Getrennter Rad- und Gehweg,682779.2316,5334790.039,682823.9375,5334738.483
1,Blumenauer Straße,7.453105966,Getrennter Rad- und Gehweg,682823.9375,5334738.483,682830.2181,5334734.616
2,Haidelweg,23.49634591,Getrennter Rad- und Gehweg,682823.9375,5334738.483,682822.3478,5334715.073
3,Hugo-Troendle-Straße,9.409102565,Übergang,686740.5708,5338656.127,686742.3456,5338665.367
4,Lilienthalallee,4.733965487,Übergang,693648.8775,5340915.69,693653.6114,5340915.665
5,Lilienthalallee,5.584681415,Übergang,693653.6114,5340915.665,693659.1897,5340915.932
6,Lilienthalallee,14.82337668,Getrennter Rad- und Gehweg (Zweirichtungsradweg),693659.1897,5340915.932,693669.7596,5340925.034
7,Lilienthalallee,218.3310342,Getrennter Rad- und Gehweg,693661.7212,5340939.708,693803.7016,5341084.362
8,Georg-Brauchle-Ring,5.157389905,Getrennter Rad- und Gehweg (Zweirichtungsradweg),688547.8958,5338997.71,688542.7439,5338997.472
9,Lassallestraße,99.72668161,Getrennter Rad- und Gehweg,688316.2561,5340438.081,688322.6464,5340537.237
10,Dachauer Straße,4.753382983,Getrennter Rad- und Gehweg,687276.4852,5339068.89,687279.1439,5339072.83
11,Dachauer Straße,0.804953961,Getrennter Rad- und Gehweg,686957.9281,5339288.963,686958.3929,5339289.62
12,Hugo-Troendle-Straße,17.32333426,Übergang,686742.3456,5338665.367,686745.9758,5338682.306
13,Hugo-Troendle-Straße,7.540770672,Übergang,686783.3008,5338868.154,686784.3685,5338875.619
14,Lilienthalallee,4.031581127,Übergang,693803.7016,5341084.362,693804.7462,5341088.256
15,Lilienthalallee,3.635893269,Übergang,693804.7413,5341088.314,693805.8008,5341091.792
16,Lilienthalallee,234.7333939,Getrennter Rad- und Gehweg,693669.7596,5340925.034,693817.5856,5341084.952
17,Lilienthalallee,170.5287407,Getrennter Rad- und Gehweg,693805.8008,5341091.792,693855.5957,5341254.889
18,Emmerigweg,250.4221649,Getrennter Rad- und Gehweg (Zweirichtungsradweg),694967.9971,5341247.38,695196.3511,5341144.597
19,Lützelsteiner Straße,3.70334187,Getrennter Rad- und Gehweg,694340.263,5341701.863,694341.1005,5341705.47
20,Maria-Probst-Straße,927.209628,Getrennter Rad- und Gehweg,693282.6583,5341016.751,693600.7823,5341858.726
21,Edmund-Rumpler-Straße,3.448024978,Übergang,693858.4341,5341253.648,693861.7002,5341252.543
22,Edmund-Rumpler-Straße,3.972769625,Übergang,693861.7002,5341252.543,693865.5645,5341251.621
23,Lilienthalallee,173.5381021,Getrennter Rad- und Gehweg,693817.5856,5341084.952,693869.8102,5341250.153
24,Lilienthalallee,6.610262923,Getrennter Rad- und Gehweg,693869.8102,5341250.153,693873.2367,5341255.655
